category,field,value
vehicle_overview,detail_url,https://www.toyotaofhollywood.com/used-vehicles/
features,key_highlights,[]
features,included_packages_accessories,[]
features,standard_feature_groups,{}
features,specifications,{}
supporting_docs,window_sticker_available,False
